id,question,optionA,optionB,optionC,answer,correct_feedback,incorrect_feedback
1,EdTech (教育科技) 是什麼的縮寫？,Education Technology,Editor Technology,Edition Technology,A,答對了！EdTech 是 Education Technology 的縮寫。,答錯了，EdTech 是 Education Technology。
2,下列何者不是教育科技的應用？,互動式電子白板,手機背單字 APP,傳統黑板板書,C,答對了！傳統黑板不屬於教育科技。,答錯了，傳統黑板不是科技應用。
3,「科技教育」的主要目標是什麼？,促進教學成效,培育科技素養,設計教學軟體,B,答對了！科技教育重點在於培育素養。,答錯了，科技教育是為了培育科技素養。
4,教育科技對學生的好處不包含下列哪項？,限制學習時間,個人化學習步調,提升資料收集效率,A,答對了！教育科技能打破時間限制，而非限制。,答錯了，教育科技通常能打破時間限制。
5,教師如何利用教育科技提升教學效率？,用 AI 批改考卷,禁止學生上網,增加紙本作業,A,答對了！AI 可以協助批改考卷。,答錯了，AI 批改考卷才是提升效率的方式。
6,淡江大學的前身是哪一所學校？,淡江英語專科學校,淡江文理學院,淡江中學,A,答對了！1950年成立淡江英語專科學校。,答錯了，最早是淡江英語專科學校。
7,淡江大學的校本部淡水校園位於哪裡？,台北市士林區,新北市淡水區,宜蘭縣羅東鎮,B,答對了！位於新北市淡水區。,答錯了，是在新北市淡水區。
8,淡江大學的校徽形狀像什麼？,書本,老虎,鐘鈴,C,答對了！校徽是鐘鈴的形狀。,答錯了，校徽是鐘鈴 (鐸)。
9,「宮燈姐姐」的傳說與哪個建築有關？,海事博物館,宮燈教室,驚聲紀念大樓,B,答對了！是宮燈教室的傳說。,答錯了，是宮燈教室。
10,淡江大學的校訓精神體現在哪個建築？,書卷廣場,克難坡,牧羊草坪,A,答對了！書卷廣場象徵樸實剛毅。,答錯了，是書卷廣場 (蛋捲廣場)。
11,進入淡水校園的「克難坡」共有幾階？,100階,132階,200階,B,答對了！克難坡有 132 階。,答錯了，是 132 階。
12,淡江大學的吉祥物是什麼動物？,老虎,海豚,獅子,B,答對了！吉祥物是海豚。,答錯了，是海豚。
13,下列哪個是常見的遊戲化學習軟體？,PaGamO,Zoom,Google Meet,A,答對了！PaGamO 是遊戲化學習平台。,答錯了，PaGamO 才是遊戲化學習軟體。
14,五虎崗是淡水校區所在地，它是第幾座山崙？,第三,第四,第五,B,答對了！位於第四山崙。,答錯了，是第四山崙。
